Epoch,Train_Loss,Val_Loss,Dist_Pos,Dist_Neg,Duration_Min
1,0.06740977885359566,0.08335792099700329,0.732259088754654,1.3493165650266281,8.020539645353953
2,0.031185564943658563,0.07595580242638615,0.659168039484227,1.288378865668114,7.942178877194722
3,0.02357620666411614,0.07411420056543763,0.6426668651877565,1.2957667213805177,7.951726897557577
4,0.02087256230111788,0.07688253664713789,0.5965409381592527,1.2056748861962177,7.936394993464152
5,0.02004765776545615,0.08154435337897628,0.6589827603799232,1.3411063620384702,7.934808472792308
6,0.019932372782459858,0.07634251931895245,0.6448578672840241,1.3143301659442008,7.904631443818411
7,0.018640742131073716,0.07709388657370235,0.5828579335136617,1.1886847663432993,7.928325633207957
8,0.017308632293061833,0.08504546430739673,0.645461561451567,1.27896789997182,7.930302735169729
9,0.01946066962200088,0.08010443502193704,0.6396134793124301,1.3136455926489323,7.939074850082397
10,0.01786328410524913,0.07732982272257473,0.6296360804679546,1.3105113136007431,7.934669502576193
